主机到主机性能测试

测试环境
主板        ASUS MV2
CPU         AMD Athlon(tm) 64 X2 Dual Core Processor 5400+
内存        4GB
主机系统    Windows 7 64 bit/OpenSUSE 64 bit 12.1
测试方法    关闭命令行输出(C#的Configuration.tree中选项EnableLogConsole设为False，C++的命令行用./Server 8001 /nolog)


C#/Binary/.Net 4.0/x64/Windows 7 64 bit
TestMessage: 16 Users, 558 ms
TestMessage: 64 Users, 1300 ms
TestMessage: 256 Users, 5838 ms
TestMessage: 1024 Users, 133365 ms


C++2011/Binary/GCC-C++ 4.6/x64/openSUSE 64 bit 12.1

TestAdd: 64 Users, 20 ms
TestMultiply: 64 Users, 152 ms
TestText: 64 Users, 134 ms
TestMessage: 64 Users, 137 ms
TestAdd: 1 Users, 3 ms
TestAdd: 4 Users, 5 ms
TestAdd: 16 Users, 8 ms
TestAdd: 64 Users, 6 ms
TestAdd: 256 Users, 22 ms
TestAdd: 1024 Users, 99 ms
TestAdd: 4096 Users, 356 ms
TestAdd: 16384 Users, 1438 ms
TestMultiply: 1 Users, 9 ms
TestMultiply: 4 Users, 17 ms
TestMultiply: 16 Users, 38 ms
TestMultiply: 64 Users, 148 ms
TestMultiply: 256 Users, 619 ms
TestMultiply: 1024 Users, 2437 ms
TestMultiply: 4096 Users, 9986 ms
TestText: 1 Users, 17 ms
TestText: 4 Users, 11 ms
TestText: 16 Users, 26 ms
TestText: 64 Users, 74 ms
TestText: 256 Users, 255 ms
TestText: 1024 Users, 1037 ms
TestText: 4096 Users, 4229 ms
TestMessage: 1 Users, 8 ms
TestMessage: 4 Users, 46 ms
TestMessage: 16 Users, 45 ms
TestMessage: 64 Users, 129 ms
TestMessage: 256 Users, 1917 ms
TestMessage: 1024 Users, 39436 ms
